wavelength (um),direct (W/m^2/um),diffuse (W/m^2/um)
0.3,0.260044026,0.722360834
0.305,4.388172967,10.65230227
0.31,16.17492281,34.92370138
0.315,40.28497357,78.79379806
0.32,61.34810556,109.3575501
0.325,97.85255732,160.6207318
0.33,138.7495661,210.6369592
0.335,153.0493438,215.486708
0.34,163.1698071,214.0047613
0.345,179.8424162,220.8531075
0.35,207.6708446,239.9229872
0.36,236.4422708,244.8279129
0.37,302.9045735,285.3218553
0.38,328.9024166,285.4042652
0.39,335.5638384,271.0567382
0.4,517.9946843,392.8843635
0.41,637.5550446,457.3557142
0.42,692.9607293,473.0217688
0.43,667.3312223,435.6918494
0.44,811.2318952,508.7958007
0.45,924.2383679,558.7521167
0.46,979.0226972,562.4098614
0.47,986.3064124,539.9926084
0.48,1037.847362,542.8195633
0.49,997.5108814,499.4348499
0.5,1028.382821,493.7797243
0.51,1060.008075,488.9231979
0.52,1027.469426,456.1163549
0.53,1076.714913,460.2952448
0.54,1096.47201,452.1826113
0.55,1108.47533,441.6443184
0.57,1096.123616,408.1716816
0.593,1069.023816,369.5248368
0.61,1089.439324,361.753982
0.63,1086.660007,343.8082483
0.656,1039.160141,309.4242138
0.6676,1062.830691,308.5598588
0.69,940.8067611,253.3821005
0.71,1017.013562,269.5470141
0.718,889.2223357,222.0129937
0.7244,871.1849023,212.905238
0.74,955.4404407,237.3072107
0.7525,958.5130638,233.8117068
0.7575,944.022609,228.1200322
0.7625,599.5432433,124.9968645
0.7675,820.5611222,186.8196971
0.78,911.5450976,211.3038104
0.8,883.4172318,196.5938805
0.816,759.0406143,157.998
0.8237,716.7838334,145.5553837
0.8315,770.6496618,159.3667179
0.84,785.7097985,161.9729764
0.86,799.0421882,161.2389264
0.88,762.7978847,148.9981929
0.905,553.1439594,94.8421122
0.915,565.0387569,96.79581083
0.925,541.7716926,91.43556928
0.93,383.6528261,58.44664452
0.937,286.2830813,40.73770447
0.948,303.4760382,43.24062087
0.965,521.4056624,83.76024061
0.98,569.0780401,92.08308173
0.9935,618.1978192,101.4341293
1.04,581.8950293,90.60340669
1.07,545.2480952,81.73171564
1.1,435.0941512,59.13120535
1.12,140.9313651,14.80248864
1.13,186.3416359,20.23047609
1.145,178.0577805,18.88682703
1.161,338.3689236,40.87298221
1.17,369.1604128,45.56152726
1.2,381.8333796,46.94878097
1.24,403.3857049,49.1783377
1.27,351.1774387,40.5550969
1.29,371.8539432,42.98580662
1.32,302.7359183,32.2645931
1.35,61.96397152,4.903294966
1.395,4.882943654,0.343770736
1.4425,54.26185985,3.971519242
1.4625,99.46235197,7.698803068
1.477,97.01872906,7.427154435
1.497,188.1448901,16.3103088
1.52,257.2781537,24.29080465
1.539,248.200502,23.26517594
1.558,231.9668059,20.9934028
1.578,228.8218095,20.61681704
1.592,216.1867276,19.20682359
1.61,208.9591828,18.16101806
1.63,222.4772849,19.46713284
1.646,213.8201457,18.45593474
1.678,200.2294389,16.84798108
1.74,159.731726,12.49084568
1.8,40.56847703,2.361533093
1.86,2.040736655,0.102979595
1.92,7.238568763,0.359420451
1.96,22.36984202,1.152478015
1.985,87.26672132,5.517241825
2.005,29.96338995,1.561933321
2.035,86.9387933,5.535464815
2.065,70.67699499,4.296382299
2.1,79.62351743,4.993166728
2.148,74.39863395,4.609668666
2.198,67.07604822,4.038405753
2.27,60.69475934,3.50489268
2.36,49.60805131,2.632424467
2.45,16.62159438,0.717173114
2.5,5.138700071,0.197928338
2.6,3.18285E-07,1.12927E-08
2.7,2.94049E-10,1.00664E-11
2.8,2.39358E-06,7.92192E-08
2.9,0.933050219,0.030292462
3,3.506247859,0.114943406
3.1,3.307924371,0.105564028
3.2,4.878791033,0.156651351
3.3,3.448711571,0.105814828
3.4,7.468594784,0.244431348
3.5,10.85310967,0.377967717
3.6,10.28563497,0.352658973
3.7,9.60322343,0.323016391
3.8,9.046051469,0.299528556
3.9,8.127215213,0.261593288
4,8.218856842,0.265347825
