approx. wavelength,transmissivity,reflectivity
3.00e-01,8.40e-02,1.25e-01
3.05e-01,8.38e-02,1.24e-01
3.10e-01,8.35e-02,1.23e-01
3.15e-01,8.33e-02,1.22e-01
3.20e-01,8.31e-02,1.20e-01
3.25e-01,8.28e-02,1.19e-01
3.30e-01,8.26e-02,1.18e-01
3.35e-01,8.24e-02,1.17e-01
3.40e-01,8.21e-02,1.16e-01
3.45e-01,8.19e-02,1.14e-01
3.50e-01,8.24e-02,1.15e-01
3.60e-01,8.06e-02,1.10e-01
3.70e-01,8.00e-02,1.07e-01
3.80e-01,8.01e-02,1.04e-01
3.90e-01,8.02e-02,1.02e-01
4.00e-01,7.99e-02,1.01e-01
4.10e-01,7.90e-02,9.89e-02
4.20e-01,7.79e-02,9.70e-02
4.30e-01,7.77e-02,9.46e-02
4.40e-01,7.87e-02,9.24e-02
4.50e-01,8.04e-02,9.11e-02
4.60e-01,8.20e-02,9.19e-02
4.70e-01,8.27e-02,9.56e-02
4.80e-01,8.18e-02,1.02e-01
4.90e-01,8.01e-02,1.10e-01
5.00e-01,8.09e-02,1.17e-01
5.10e-01,8.78e-02,1.23e-01
5.20e-01,1.02e-01,1.30e-01
5.30e-01,1.17e-01,1.43e-01
5.40e-01,1.28e-01,1.60e-01
5.50e-01,1.36e-01,1.77e-01
5.70e-01,1.52e-01,1.95e-01
5.93e-01,1.61e-01,1.93e-01
6.10e-01,1.57e-01,1.81e-01
6.30e-01,1.43e-01,1.45e-01
6.56e-01,1.10e-01,1.10e-01
6.68e-01,9.66e-02,1.06e-01
6.90e-01,7.89e-02,1.07e-01
7.10e-01,6.96e-02,1.22e-01
7.18e-01,7.04e-02,1.73e-01
7.24e-01,7.50e-02,2.50e-01
7.40e-01,1.06e-01,3.90e-01
7.53e-01,1.43e-01,4.32e-01
7.58e-01,1.59e-01,4.43e-01
7.63e-01,1.74e-01,4.54e-01
7.68e-01,1.90e-01,4.64e-01
7.80e-01,2.29e-01,4.88e-01
8.00e-01,2.69e-01,5.17e-01
8.16e-01,2.78e-01,5.31e-01
8.24e-01,2.81e-01,5.36e-01
8.32e-01,2.84e-01,5.40e-01
8.40e-01,2.86e-01,5.44e-01
8.60e-01,2.90e-01,5.50e-01
8.80e-01,2.92e-01,5.49e-01
9.05e-01,2.92e-01,5.42e-01
9.15e-01,2.92e-01,5.40e-01
9.25e-01,2.92e-01,5.38e-01
9.30e-01,2.92e-01,5.37e-01
9.37e-01,2.91e-01,5.36e-01
9.48e-01,2.91e-01,5.35e-01
9.65e-01,2.91e-01,5.34e-01
9.80e-01,2.91e-01,5.34e-01
9.94e-01,2.91e-01,5.35e-01
1.04e+00,2.92e-01,5.32e-01
1.07e+00,2.92e-01,5.24e-01
1.10e+00,2.91e-01,5.16e-01
1.12e+00,2.89e-01,5.13e-01
1.13e+00,2.88e-01,5.12e-01
1.15e+00,2.85e-01,5.09e-01
1.16e+00,2.82e-01,5.04e-01
1.17e+00,2.79e-01,5.00e-01
1.20e+00,2.69e-01,4.82e-01
1.24e+00,2.51e-01,4.56e-01
1.27e+00,2.37e-01,4.37e-01
1.29e+00,2.28e-01,4.24e-01
1.32e+00,2.15e-01,4.02e-01
1.35e+00,2.00e-01,3.78e-01
1.40e+00,1.69e-01,3.38e-01
1.44e+00,1.34e-01,2.93e-01
1.46e+00,1.21e-01,2.79e-01
1.48e+00,1.12e-01,2.73e-01
1.50e+00,1.01e-01,2.70e-01
1.52e+00,8.99e-02,2.74e-01
1.54e+00,8.20e-02,2.83e-01
1.56e+00,7.58e-02,2.98e-01
1.58e+00,7.25e-02,3.16e-01
1.59e+00,7.24e-02,3.28e-01
1.61e+00,7.47e-02,3.43e-01
1.63e+00,8.01e-02,3.57e-01
1.65e+00,8.62e-02,3.68e-01
1.68e+00,1.02e-01,3.90e-01
1.74e+00,1.34e-01,4.03e-01
1.80e+00,1.38e-01,3.97e-01
1.86e+00,1.27e-01,3.67e-01
1.92e+00,9.44e-02,2.92e-01
1.96e+00,6.45e-02,2.19e-01
1.99e+00,4.85e-02,1.84e-01
2.00e+00,3.86e-02,1.54e-01
2.04e+00,4.25e-02,1.16e-01
2.06e+00,6.99e-02,1.07e-01
2.10e+00,1.09e-01,1.48e-01
2.15e+00,1.69e-01,2.02e-01
2.20e+00,2.02e-01,2.20e-01
2.27e+00,2.07e-01,1.85e-01
2.36e+00,1.46e-01,1.18e-01
2.45e+00,6.99e-02,6.32e-02
2.50e+00,3.55e-02,3.97e-02
2.60e+00,0.00e+00,0.00e+00
2.70e+00,nan,nan
2.80e+00,nan,nan
2.90e+00,nan,nan
3.00e+00,nan,nan
3.10e+00,nan,nan
3.20e+00,nan,nan
3.30e+00,nan,nan
3.40e+00,nan,nan
3.50e+00,nan,nan
3.60e+00,nan,nan
3.70e+00,nan,nan
3.80e+00,nan,nan
3.90e+00,nan,nan
4.00e+00,nan,nan
